cyr,country_text_id,seq,year,country_name,country_id,GMpop,GMpoplog
mex1900,MEX,1900,1900,Mexico,3,13662.6396484375,7.1355343
mex19015,MEX,19015,1901.5,Mexico,3,13880.521484375,7.1424065
mex19035,MEX,19035,1903.5,Mexico,3,14171.0302734375,7.1514015
mex19055,MEX,19055,1905.5,Mexico,3,14461.53955078125,7.1602144
mex19075,MEX,19075,1907.5,Mexico,3,14752.04833984375,7.1688519
mex19095,MEX,19095,1909.5,Mexico,3,15042.55712890625,7.1773214
mex19115,MEX,19115,1911.5,Mexico,3,15108.81982421875,7.1792307
mex19135,MEX,19135,1913.5,Mexico,3,15100.33251953125,7.1789865
mex19155,MEX,19155,1915.5,Mexico,3,15091.84619140625,7.1787424
mex19175,MEX,19175,1917.5,Mexico,3,15083.359375,7.1784983
mex19195,MEX,19195,1919.5,Mexico,3,15074.87255859375,7.1782532
mex19215,MEX,19215,1921.5,Mexico,3,15417.9189453125,7.1880264
mex19235,MEX,19235,1923.5,Mexico,3,15878.14208984375,7.2007999
mex19255,MEX,19255,1925.5,Mexico,3,16338.3662109375,7.2132092
mex19275,MEX,19275,1927.5,Mexico,3,16798.5888671875,7.2252731
mex19295,MEX,19295,1929.5,Mexico,3,17258.8134765625,7.237011
mex19315,MEX,19315,1931.5,Mexico,3,17872.7822265625,7.2521915
mex19335,MEX,19335,1933.5,Mexico,3,18537.9990234375,7.2680626
mex19355,MEX,19355,1935.5,Mexico,3,19203.216796875,7.2833738
mex19375,MEX,19375,1937.5,Mexico,3,19868.43359375,7.2981634
mex19395,MEX,19395,1939.5,Mexico,3,20533.650390625,7.3124657
mex19415,MEX,19415,1941.5,Mexico,3,22295.7587890625,7.3482227
mex19435,MEX,19435,1943.5,Mexico,3,24423.4970703125,7.3878078
mex19455,MEX,19455,1945.5,Mexico,3,26551.234375,7.4240847
mex19475,MEX,19475,1947.5,Mexico,3,28678.9716796875,7.4575634
mex19495,MEX,19495,1949.5,Mexico,3,29143.6669921875,7.4645443
mex19515,MEX,19515,1951.5,Mexico,3,29273.8720703125,7.4664803
mex19535,MEX,19535,1953.5,Mexico,3,31117.0107421875,7.4929981
mex19555,MEX,19555,1955.5,Mexico,3,33126.5810546875,7.5201759
mex19575,MEX,19575,1957.5,Mexico,3,35283.681640625,7.547574
mex19595,MEX,19595,1959.5,Mexico,3,37581.90234375,7.5749788
mex19615,MEX,19615,1961.5,Mexico,3,40021.859375,7.6022968
mex19635,MEX,19635,1963.5,Mexico,3,42602.07421875,7.6294308
mex19655,MEX,19655,1965.5,Mexico,3,45317,7.6562614
mex19675,MEX,19675,1967.5,Mexico,3,48161.580078125,7.6827011
mex19695,MEX,19695,1969.5,Mexico,3,51226.494140625,7.7094946
mex19715,MEX,19715,1971.5,Mexico,3,54599.8359375,7.7371912
mex19735,MEX,19735,1973.5,Mexico,3,58186.927734375,7.7648258
mex19755,MEX,19755,1975.5,Mexico,3,61746.244140625,7.7906103
mex19775,MEX,19775,1977.5,Mexico,3,65181.65234375,7.8141251
mex19795,MEX,19795,1979.5,Mexico,3,68509.7578125,7.8357525
mex19815,MEX,19815,1981.5,Mexico,3,71749.3671875,7.8558178
mex19835,MEX,19835,1983.5,Mexico,3,74927.29296875,7.8746395
mex19855,MEX,19855,1985.5,Mexico,3,78131.0390625,7.8928242
mex19875,MEX,19875,1987.5,Mexico,3,81397.10546875,7.9106083
mex19895,MEX,19895,1989.5,Mexico,3,84755.5234375,7.9281673
mex19915,MEX,19915,1991.5,Mexico,3,88228.625,7.94561
mex19935,MEX,19935,1993.5,Mexico,3,91775.37890625,7.9627266
mex19955,MEX,19955,1995.5,Mexico,3,95304.328125,7.9791126
mex19975,MEX,19975,1997.5,Mexico,3,98779.05859375,7.9946651
mex19995,MEX,19995,1999.5,Mexico,3,102037.58203125,8.0087605
mex20015,MEX,20015,2001.5,Mexico,3,104908.9296875,8.020813
